Image Path,Label
input_images/img36.png,No Rodent
input_images/img22.png,No Rodent
input_images/img23.png,No Rodent
input_images/img37.png,No Rodent
input_images/img21.png,No Rodent
input_images/img35.png,No Rodent
input_images/img34.png,No Rodent
input_images/img20.png,No Rodent
input_images/img24.png,No Rodent
input_images/img30.png,No Rodent
input_images/img18.png,No Rodent
input_images/img19.png,No Rodent
input_images/img31.png,No Rodent
input_images/img25.png,No Rodent
input_images/img33.png,No Rodent
input_images/img27.png,No Rodent
input_images/img26.png,No Rodent
input_images/img32.png,No Rodent
input_images/img96.png,No Rodent
input_images/img82.png,No Rodent
input_images/img69.png,No Rodent
input_images/img55.png,No Rodent
input_images/img41.png,No Rodent
input_images/img40.png,No Rodent
input_images/img54.png,No Rodent
input_images/img68.png,No Rodent
input_images/img83.png,No Rodent
input_images/img97.png,No Rodent
input_images/img81.png,No Rodent
input_images/img95.png,No Rodent
input_images/img42.png,No Rodent
input_images/img56.png,No Rodent
input_images/img57.png,No Rodent
input_images/img43.png,No Rodent
input_images/img94.png,No Rodent
input_images/img80.png,No Rodent
input_images/img84.png,No Rodent
input_images/img90.png,No Rodent
input_images/img47.png,No Rodent
input_images/img53.png,No Rodent
input_images/img52.png,No Rodent
input_images/img46.png,No Rodent
input_images/img91.png,No Rodent
input_images/img85.png,No Rodent
input_images/img93.png,No Rodent
input_images/img87.png,No Rodent
input_images/img50.png,No Rodent
input_images/img44.png,No Rodent
input_images/img78.png,No Rodent
input_images/img9.png,No Rodent
input_images/img8.png,No Rodent
input_images/img79.png,No Rodent
input_images/img45.png,No Rodent
input_images/img51.png,No Rodent
input_images/img86.png,No Rodent
input_images/img92.png,No Rodent
input_images/img48.png,No Rodent
input_images/img74.png,No Rodent
input_images/img60.png,No Rodent
input_images/img5.png,No Rodent
input_images/img4.png,No Rodent
input_images/img61.png,No Rodent
input_images/img75.png,No Rodent
input_images/img49.png,No Rodent
input_images/img88.png,No Rodent
input_images/img63.png,No Rodent
input_images/img77.png,No Rodent
input_images/img6.png,No Rodent
input_images/img7.png,No Rodent
input_images/img76.png,No Rodent
input_images/img62.png,No Rodent
input_images/img89.png,No Rodent
input_images/img99.png,No Rodent
input_images/img66.png,No Rodent
input_images/img72.png,No Rodent
input_images/img3.png,No Rodent
input_images/img2.png,No Rodent
input_images/img73.png,No Rodent
input_images/img67.png,No Rodent
input_images/img98.png,No Rodent
input_images/img71.png,No Rodent
input_images/img65.png,No Rodent
input_images/img59.png,No Rodent
input_images/img1.png,No Rodent
input_images/img58.png,No Rodent
input_images/img64.png,No Rodent
input_images/img70.png,No Rodent
input_images/img17.png,No Rodent
input_images/img16.png,No Rodent
input_images/img28.png,No Rodent
input_images/img14.png,No Rodent
input_images/img15.png,No Rodent
input_images/img29.png,No Rodent
input_images/img11.png,No Rodent
input_images/img39.png,No Rodent
input_images/img38.png,No Rodent
input_images/img10.png,No Rodent
input_images/img12.png,No Rodent
input_images/img100.png,No Rodent
input_images/img13.png,No Rodent
